user_id,product_id,interaction_score
10,107,5
8,103,15
1,104,3
6,109,11
6,101,1
1,115,5
8,111,4
10,112,4
4,105,1
10,115,5
1,112,8
6,102,5
1,107,3
3,103,7
4,113,3
10,110,8
3,114,1
8,113,8
8,106,6
6,115,10
4,108,10
3,105,5
4,111,5
3,106,6
10,101,3
1,102,1
6,112,3
8,105,13
6,107,3
8,114,3
3,113,9
10,109,5
7,109,11
9,103,2
5,114,5
5,105,2
9,111,6
7,101,5
7,102,6
9,108,3
2,111,5
2,103,5
7,104,8
2,114,10
5,108,3
2,105,3
7,115,7
9,106,5
9,105,9
5,111,8
2,106,5
5,103,4
6,105,11
1,108,2
8,112,5
4,101,11
3,115,1
10,111,5
10,103,5
3,104,6
4,109,5
6,114,3
8,107,6
8,104,6
3,107,5
4,110,5
8,115,11
6,106,1
6,108,3
1,105,5
4,115,13
10,106,1
3,101,5
4,104,5
10,113,3
8,110,13
1,114,9
8,109,7
1,113,3
6,103,13
3,110,1
4,107,12
3,102,1
10,114,5
10,105,8
6,111,5
1,106,5
8,101,5
2,115,8
5,101,2
9,112,5
7,105,6
7,114,8
2,104,3
5,109,11
5,110,3
7,113,3
9,104,6
5,102,1
2,112,9
2,101,5
5,115,8
9,102,8
9,110,10
2,109,1
5,104,3
5,107,9
7,103,3
9,109,9
1,1,1
5,112,7
2,102,1
