user_id,product_id,interaction_score
2,7,18
2,20,9
1,104,9
9,7,30
6,110,23
9,20,6
7,13,17
5,18,36
10,104,15
5,1,14
4,113,5
5,20,31
10,110,31
5,7,24
9,1,17
8,113,13
9,18,10
7,11,25
6,104,4
1,110,9
2,1,10
3,113,23
2,18,19
10,19,10
5,105,12
4,10,19
6,6,19
9,111,11
8,12,16
7,101,11
1,19,11
2,111,4
3,12,34
2,105,8
3,10,9
1,6,14
7,112,11
8,10,41
6,19,5
9,105,7
4,12,13
5,111,7
10,6,26
5,14,36
10,103,8
4,109,26
8,107,9
7,2,27
6,114,7
9,8,14
7,17,13
1,103,12
3,107,31
2,8,15
3,109,19
2,14,26
1,114,19
8,109,2
7,4,22
6,103,8
9,14,20
5,8,23
10,114,19
4,107,13
2,115,24
3,3,6
3,16,11
1,15,28
9,115,8
8,3,6
7,106,5
6,9,24
10,15,21
5,102,29
4,5,12
8,16,22
4,16,10
10,9,4
4,3,5
5,115,18
7,108,15
8,5,25
9,102,24
6,15,9
1,9,39
3,5,4
2,102,16
9,12,11
6,101,11
7,6,52
8,111,10
10,112,8
4,105,5
5,10,31
2,12,11
3,111,7
1,112,1
1,101,17
2,10,28
3,105,12
4,111,18
10,101,30
5,12,39
9,10,21
7,19,15
8,105,16
6,112,3
1,11,9
3,20,3
3,7,12
5,113,9
4,1,12
10,11,12
8,20,12
6,13,20
8,7,18
7,110,25
8,18,39
4,18,13
8,1,26
7,104,9
9,113,20
4,7,22
6,11,14
10,13,20
4,20,11
3,18,23
3,1,17
2,113,18
1,13,23
1,108,5
2,16,21
3,115,24
2,3,26
5,5,33
10,108,18
4,102,24
7,9,22
8,115,18
6,106,11
8,102,19
9,16,15
9,3,17
7,15,16
5,3,17
4,115,11
5,16,31
9,5,15
6,108,11
10,106,10
3,102,8
2,5,26
1,106,3
8,8,13
7,114,11
9,107,8
6,2,33
10,4,12
4,14,23
6,17,19
5,109,13
3,8,10
2,107,13
1,4,12
1,2,14
1,17,1
3,14,17
2,109,9
10,2,29
5,107,17
4,8,13
10,17,37
7,103,8
8,14,22
9,109,20
6,4,29
4,114,22
5,2,26
10,107,11
5,17,19
7,14,17
8,103,2
9,4,22
6,109,17
1,107,22
3,103,8
2,4,16
2,17,10
2,2,6
3,114,9
1,109,24
9,17,6
7,8,4
9,2,21
8,114,5
10,109,15
5,4,12
4,103,16
6,107,38
3,15,9
2,108,13
1,3,12
1,16,12
8,15,46
7,102,7
6,5,17
9,108,11
5,106,6
10,3,12
4,9,19
10,16,15
5,108,8
10,5,22
4,15,8
8,9,29
6,16,19
6,3,20
9,106,12
7,115,8
1,5,16
3,9,35
2,106,13
2,11,38
3,104,11
7,18,20
8,104,24
6,113,34
7,1,17
4,110,24
5,13,26
9,11,20
10,113,27
5,11,13
4,104,8
7,20,36
8,110,3
7,7,25
9,13,18
1,113,7
2,13,25
3,110,20
4,6,21
10,12,19
5,101,15
6,10,23
9,112,7
7,105,11
8,19,26
1,12,26
3,19,8
2,112,25
2,101,8
3,6,26
1,10,15
9,101,9
6,12,16
7,111,3
8,6,31
5,112,8
10,10,23
4,19,24
1,115,6
3,108,19
2,15,19
5,9,13
10,115,17
4,106,3
7,5,13
8,108,14
9,15,26
6,102,18
7,3,10
8,106,24
9,9,17
7,16,4
6,115,22
5,15,24
4,108,11
10,102,13
3,106,9
2,9,20
1,102,10
8,4,18
7,109,13
6,14,22
9,103,16
10,8,29
4,17,24
5,114,9
4,2,17
3,4,17
2,103,11
1,8,21
1,14,12
3,2,4
2,114,10
3,17,19
5,103,2
10,14,9
4,4,13
8,2,14
7,107,4
6,8,46
8,17,22
8,112,11
9,114,9
6,105,11
7,10,20
9,19,18
4,101,5
5,6,24
10,111,9
3,112,17
2,19,6
1,111,6
1,105,6
2,6,8
3,101,15
5,19,21
4,112,13
10,105,19
9,6,25
8,101,18
7,12,36
6,111,2
1,20,6
1,7,15
2,104,7
3,11,8
10,20,13
4,13,2
10,7,13
5,110,13
9,104,20
6,1,10
7,113,9
8,11,20
6,18,50
9,110,26
6,7,16
6,20,19
4,11,20
10,18,16
10,1,45
5,104,8
2,110,7
8,13,23
3,13,26
1,18,16
1,1,38
